dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/nsyt4y	953c46c5-363c-4bcb-a065-86d66f7ffa77	TUR Vascular plant collections of the Turku University, Herbarium generale		10
10.15468/ihkovm	bd8ee748-4ae8-4956-98d9-c1b8e8b2b9c9	Données issues du portail Sigogne - Bourgogne-Franche-Comté - TAXA - Flore et habitats naturels de Franche-Comté		10
10.15468/qwjw7w	d446193a-7bbd-4c76-b90a-2546fcafa85c	Herbarium Dresdense		10
10.15468/byqa2v	424e4a02-f1fa-418d-8030-b1d58ac5c0d1	ACQUISITION_CBNMC - BILLY		9
10.15468/vnkxjn	c55cf28c-8ed3-43cd-914c-8a8b7b4b9df0	Flora of Worcestershire		9
10.15468/w75chh	14d81697-0d3a-4e4f-a3a0-f1d7d374e758	Données issues du portail Sigogne - Bourgogne-Franche-Comté - Données flore, fonge, habitats naturels du Conservatoire Botanique National du Bassin Parisien		8
10.15468/5v5pvk	25d4f82b-b2bc-4197-bc11-27c8e9a25439	Shropshire Ecological Data Network database		8
10.15468/2zbay3	3e44890f-f821-41a9-b09f-de1d22612db0	Vascular plant collections of the Botanical Museum, University of Oulu (OULU)		8
10.15468/x5ljvi	834f1756-f762-11e1-a439-00145eb45e9a	CeDoc de Biodiversitat Vegetal: BCN-Cormophyta	Guardia Rubies R. 2021: BCN Cormophyta v1.4. Plant Biodiversity Resource Centre (CeDocBiV), University of Barcelona. Occurrence Dataset https://doi.org/10.15468/x5ljvi accessed via GBIF.org	8
10.15468/s2iu7d	962f59bc-f762-11e1-a439-00145eb45e9a	Collections and observation data National Museum of Natural History Luxembourg	National Museum of Natural History, Luxembourg (2022): Collections and observation data National Museum of Natural History Luxembourg. v1.15. National Museum of Natural History, Luxembourg. Dataset/Occurrence. DOI10.15468/s2iu7d	8
10.15468/3sfuzk	8ed50599-968b-4ab9-b242-ee1831187dc3	ACQUISITION_CBNMC - Herbiers du Musée Crozatier		7
10.15468/soarvd	54f946aa-2ca9-4a51-9ee5-011219e0381e	Masaryk University - Herbarium BRNU	"All the help and manifold efforts by persons and organisations who inspired and promoted the ongoing project of the digitization of botanical specimens ""DigiBotA"" is herewith gratefully acknowledged."	6
10.15468/fa8yqv	5016c710-7ca8-485b-a01e-c8f27982b1a2	Etude Faune/Flore - Eoliennes des Limodores		5
10.15468/3pf855	c1492854-5d15-40e9-9ee7-24a18ac05112	Biodiversitätsdatenbank Salzburg	Haus der Natur ([year]): Biodiversitätsdatenbank Salzburg, Haus der Natur. Digital Data (GBIF) from the Biodiversity-database, accessed with permission of the Haus der Natur on at [date of access].	5
10.15468/jf3yae	07a54454-87c7-4e1e-b2ba-88a9d98d534b	NSW AVH feed		4
10.15468/nt6vsr	23f9546d-6ad8-41d4-9c9b-3ecf864c15d0	65 - Données flore validées CBNC		4
10.15468/bps4gh	33484712-7b85-4cf5-9a98-5af51f44c255	KUO Vascular plant collections (KUO)		4
10.15468/wmmuuh	7c411d81-3534-4cc3-8444-885e82ccdfa3	Inventaire de la flore d'Alsace - Données Herbiers de l'Université de Strasbourg		4
10.15468/mnjkvv	83ae84cf-88e4-4b5c-80b2-271a15a3e0fc	Auckland Museum Botany Collection	Cameron E, Auckland Museum A M (2022). Auckland Museum Botany Collection. Version 1.76. Auckland War Memorial Museum. Occurrence dataset https://doi.org/10.15468/mnjkvv accessed via GBIF.org on 2022-11-14.	4
